ORDER_ID,AMOUNT,PROFIT,PROFITABLE_FLAG
B-25703,97,-45,not profitable
B-25703,47,-27,not profitable
B-25703,186,-141,not profitable
B-25704,126,-63,not profitable
B-25704,102,0,profitable
B-25705,46,0,profitable
B-25706,31,-11,not profitable
B-25707,8,-6,not profitable
B-25708,191,13,profitable
B-25708,709,-100,not profitable
B-25708,81,-51,not profitable
B-25708,32,-8,not profitable
B-25709,33,-12,not profitable
B-25709,41,-6,not profitable
B-25710,216,-38,not profitable
B-25710,616,-69,not profitable
B-25710,10,-1,not profitable
B-25710,25,0,profitable
B-25710,53,-18,not profitable
B-25710,13,-8,not profitable
B-25711,100,-58,not profitable
B-25712,193,-275,not profitable
B-25713,158,-63,not profitable
B-25714,11,-5,not profitable
B-25714,340,20,profitable
B-25715,416,137,profitable
B-25716,58,0,profitable
B-25717,561,212,profitable
B-25717,138,-3,not profitable
B-25717,90,17,profitable
B-25717,55,-33,not profitable
B-25718,371,115,profitable
B-25718,460,31,profitable
B-25719,29,10,profitable
B-25720,30,-35,not profitable
B-25721,29,-18,not profitable
B-25721,191,51,profitable
B-25721,149,-40,not profitable
B-25722,48,-8,not profitable
B-25723,26,-24,not profitable
B-25723,16,-12,not profitable
B-25723,12,-7,not profitable
B-25723,76,-54,not profitable
B-25724,168,-51,not profitable
B-25725,23,-5,not profitable
B-25725,26,-5,not profitable
B-25725,144,-7,not profitable
B-25726,490,-128,not profitable
B-25727,57,-48,not profitable
B-25727,327,114,profitable
B-25728,1055,264,profitable
B-25728,771,-424,not profitable
B-25728,322,-113,not profitable
B-25729,1549,-439,not profitable
B-25730,1145,-706,not profitable
B-25730,473,42,profitable
B-25730,96,22,profitable
B-25730,18,8,profitable
B-25730,187,30,profitable
B-25730,83,-81,not profitable
B-25731,131,-154,not profitable
B-25732,16,-5,not profitable
B-25733,43,-43,not profitable
B-25733,30,-10,not profitable
B-25733,23,-6,not profitable
B-25734,108,-19,not profitable
B-25735,12,-2,not profitable
B-25735,7,-1,not profitable
B-25735,15,-7,not profitable
B-25736,31,-7,not profitable
B-25737,187,-15,not profitable
B-25738,70,-14,not profitable
B-25738,72,-6,not profitable
B-25738,1069,0,profitable
B-25738,148,-91,not profitable
B-25739,133,-56,not profitable
B-25740,40,-37,not profitable
B-25740,7,0,profitable
B-25740,58,-8,not profitable
B-25741,482,-6,not profitable
B-25742,11,-8,not profitable
B-25743,143,-124,not profitable
B-25743,9,-5,not profitable
B-25743,503,-56,not profitable
B-25743,74,-51,not profitable
B-25743,56,0,profitable
B-25744,373,-254,not profitable
B-25745,44,-8,not profitable
B-25745,296,-225,not profitable
B-25745,670,15,profitable
B-25745,132,-79,not profitable
B-25746,87,16,profitable
B-25747,877,395,profitable
B-25748,141,10,profitable
B-25748,224,58,profitable
B-25748,8,-1,not profitable
B-25748,47,-21,not profitable
B-25749,1052,-82,not profitable
B-25750,212,-24,not profitable
B-25750,42,-15,not profitable
B-25750,208,-25,not profitable
B-25750,22,-12,not profitable
B-25750,539,-146,not profitable
B-25750,78,-6,not profitable
B-25750,20,-18,not profitable
B-25750,19,-1,not profitable
B-25750,73,-31,not profitable
B-25751,10,-8,not profitable
B-25751,14,-3,not profitable
B-25751,68,-56,not profitable
B-25751,106,0,profitable
B-25751,43,-5,not profitable
B-25751,43,21,profitable
B-25751,534,5,profitable
B-25751,32,7,profitable
B-25751,65,-4,not profitable
B-25751,221,-15,not profitable
B-25752,1361,197,profitable
B-25752,761,266,profitable
B-25752,76,27,profitable
B-25752,91,15,profitable
B-25752,8,-2,not profitable
B-25752,735,-235,not profitable
B-25752,33,-27,not profitable
B-25753,62,-56,not profitable
B-25753,27,-20,not profitable
B-25753,65,-52,not profitable
B-25753,47,-114,not profitable
B-25753,341,-85,not profitable
B-25753,107,31,profitable
B-25753,154,22,profitable
B-25753,620,82,profitable
B-25753,77,-43,not profitable
B-25754,72,-46,not profitable
B-25754,41,-14,not profitable
B-25754,30,-23,not profitable
B-25754,93,-65,not profitable
B-25754,19,0,profitable
B-25754,9,-1,not profitable
B-25754,319,-312,not profitable
B-25754,262,-215,not profitable
B-25755,37,-53,not profitable
B-25755,257,-3,not profitable
B-25755,80,-19,not profitable
B-25755,321,-315,not profitable
B-25755,47,-3,not profitable
B-25755,593,213,profitable
B-25755,134,-34,not profitable
B-25755,1709,564,profitable
B-25755,27,4,profitable
B-25756,465,-33,not profitable
B-25756,643,-45,not profitable
B-25756,204,-276,not profitable
B-25756,729,-492,not profitable
B-25756,29,-24,not profitable
B-25757,17,-13,not profitable
B-25757,34,-11,not profitable
B-25757,98,9,profitable
B-25757,3151,-35,not profitable
B-25757,53,15,profitable
B-25757,165,30,profitable
B-25757,211,19,profitable
B-25757,106,15,profitable
B-25757,14,5,profitable
B-25757,17,7,profitable
B-25757,46,14,profitable
B-25758,8,-2,not profitable
B-25759,20,-9,not profitable
B-25760,322,-193,not profitable
B-25761,2188,1050,profitable
B-25761,328,-15,not profitable
B-25761,418,70,profitable
B-25761,40,0,profitable
B-25761,102,-90,not profitable
B-25761,263,-31,not profitable
B-25762,1316,527,profitable
B-25762,27,4,profitable
B-25762,98,-5,not profitable
B-25763,58,-52,not profitable
B-25764,119,43,profitable
B-25764,765,-153,not profitable
B-25764,26,0,profitable
B-25764,24,-24,not profitable
B-25765,139,14,profitable
B-25766,220,-19,not profitable
B-25767,299,-28,not profitable
B-25767,9,-9,not profitable
B-25767,74,-59,not profitable
B-25767,29,-3,not profitable
B-25767,48,-22,not profitable
B-25768,1582,-443,not profitable
B-25769,355,-4,not profitable
B-25770,375,180,profitable
B-25770,299,113,profitable
B-25770,287,-280,not profitable
B-25770,110,35,profitable
B-25771,148,59,profitable
B-25772,1183,106,profitable
B-25773,248,-70,not profitable
B-25773,85,-9,not profitable
B-25773,24,-14,not profitable
B-25773,209,-21,not profitable
B-25773,224,-143,not profitable
B-25774,38,-6,not profitable
B-25775,50,-17,not profitable
B-25776,47,-20,not profitable
B-25777,61,-25,not profitable
B-25777,69,-67,not profitable
B-25777,59,-46,not profitable
B-25777,117,17,profitable
B-25777,1076,-38,not profitable
B-25778,1506,-266,not profitable
B-25778,109,-6,not profitable
B-25778,933,166,profitable
B-25778,724,247,profitable
B-25779,1361,-980,not profitable
B-25780,137,-41,not profitable
B-25781,60,-49,not profitable
B-25781,30,-25,not profitable
B-25781,767,-353,not profitable
B-25781,45,-28,not profitable
B-25781,25,-1,not profitable
B-25781,584,-444,not profitable
B-25782,335,-22,not profitable
B-25783,25,-11,not profitable
B-25783,30,-6,not profitable
B-25783,33,-10,not profitable
B-25783,21,-17,not profitable
B-25783,26,2,profitable
B-25784,15,4,profitable
B-25785,595,292,profitable
